"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Y3FL3H59","webpage","2025","María José Vicente Edo (mjvicente.iacs@aragon.es); 2025; IACS (ES)","Guía de Práctica Clínica de Intervenciones Psicosociales en el Trastorno Mental Grave. Revisión","","","","","Spain","","2025","2026-01-08 00:52:10","2026-01-08 00:52:10","","","","","","","","","","","","","","","Spanish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPKS6HFM","webpage","","Nannan SHI, 13811839164@ vip.126.com; Ning LIANG, E-mail: liangning229@163.com; Yanping WANG, wangyanping4816@163.co; Guidelines for clinical application of Chinese patent medicine in the treatment of influenza in children (2024）","Guidelines for clinical application of Chinese patent medicine in the treatment of influenza in children (2024)","","","","","","","","2026-01-08 00:52:10","2026-01-08 00:52:10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y86J92XS","webpage","","ruan_qiao_ling@163.com; Guidelines for Management of Latent Tuberculosis Infection in Patients Requiring Immunosuppressive Agents","Guidelines for Management of Latent Tuberculosis Infection in Patients Requiring Immunosuppressive Agents","","","","","","","","2026-01-08 00:52:10","2026-01-08 00:52:10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NTNDAVDV","webpage","","Ina Kopp (imwi@awmf.org); Conservative, surgical and rehabilitative treatment of herniated discs with radicular symptoms; 15/07/2027; 2022; AWMF (DE)","Konservative, operative und rehabilitative Versorgung bei Bandscheibenvorfällen mit radikulärer Symptomatik. S2k-LL (DGOU)","","","","","Germany","","","2026-01-08 00:52:10","2026-01-08 00:52:10","","","","","","","","","","","","","","","German","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQZMF8LZ","webpage","2025","demande@inenesss.qc.ca; Chronic obstructive pulmonary disease: detection, diagnosis, optimal use of; medications and inhalation devices, and global management; INESSS (CA)","Maladie pulmonaire obstructive chronique : repérage, diagnostic, usage optimal des médicaments et des dispositifs d’inhalation, et prise en charge globale","","","","","Canada","","2025","2026-01-08 00:52:10","2026-01-08 00:52:10","","","","","","","","","","","","","","","French","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BRAN5NTQ","webpage","","Sara Morgan, sarajmorgan@gillettechildrens.com","Orthotic Management of Adolescent Idiopathic Scoliosis","","","","","","","","2026-01-08 00:52:10","2026-01-08 00:52:10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QGPHLA5C","webpage","","Ina Kopp (imwi@awmf.org); prostate cancer","Prostatakarzinom. S3-LL (Leitlinienprogramm Onkologie von AWMF, DKG und DKH)","","","","","","","","2026-01-08 00:52:10","2026-01-08 00:52:10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64QJV9NK","webpage","","Ina Kopp (imwi@awmf.org); S3-Leitlinie zu bevölkerungsorientierten Strategien des Öffentlichen Zahngesundheitsdienstes zur zahnmedizinischen Prävention, Gesundheitsförderung und Stärkung der Mundgesundheitskompetenz (LL Zähne); 2024; AWMF (DE)","S3-Leitlinie zu bevölkerungsorientierten Strategien des Öffentlichen Zahngesundheitsdienstes zur zahnmedizinischen Prävention, Gesundheitsförderung und Stärkung der Mundgesundheitskompetenz (LL Zähne). S3-LL (DGZMK)","","","","","Germany","","","2026-01-08 00:52:11","2026-01-08 00:52:11","","","","","","","","","","","","","","","German","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GAJ6PWYD","webpage","","Ina Kopp (imwi@awmf.org); Sexually transmitted infections with mycoplasmas and ureaplasmas; 2024; AWMF (DE)","Sexuell übertragbare Infektionen mit Mykoplasmen und Ureaplasmen. S3-LL (DSTIG)","","","","","Germany","","","2026-01-08 00:52:11","2026-01-08 00:52:11","","","","","","","","","","","","","","","German","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYAZXH4E","webpage","","Ina Kopp (imwi@awmf.org); Standardized initial assessment for management in emergency and acute care at hospital sites and integrated emergency structures (DIRECT); 2025; AWMF (DE)","Standardisierte Ersteinschätzung zur Steuerung in der Notfall– und Akutversorgung an Krankenhausstandorten und integrierten Notfallstrukturen (DIRECT). S3-LL (DGINA)","","","","","Germany","","","2026-01-08 00:52:11","2026-01-08 00:52:11","","","","","","","","","","","","","","","German","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EN6FPMW2","webpage","","Hou Wanyin, hongzh@bjmu.edu.cn;Zhang Yuemiao,zhangyuemiao1@163.com; Clinical practice guideline for hypertension with proteinuria in China","中国高血压合并蛋白尿临床实践指南","","","","","","","","2026-01-08 00:52:11","2026-01-08 00:52:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63WKS7C3","webpage","","Nannan SHI, 13811839164@ vip.126.com; Ning LIANG, E-mail: liangning229@163.com; Yanping WANG, wangyanping4816@163.com; Chinese Herbal Medicine Guideline for Mild Cognitive Impairment (2022)","中成药治疗轻度认知障碍临床实践指南","","","","","","","","2026-01-08 00:52:11","2026-01-08 00:52:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BSUHBND","webpage","","lipeng@ccmu.edu.cn; Clinical guidelines for gastric endoscopic submucosal dissection during the perioperative period（2024 edition）","胃内镜黏膜下剥离术围术期指南","","","","","","","","2026-01-08 00:52:11","2026-01-08 00:52:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BW4MS8G5","webpage","2003","""Caution when exposing skin to the sun"" - prevention of melanoma; 2020; RER Assr (IT)","'La pelle al sole con cautela' - prevenzione del melanoma","","","","","Italy","","2003","2026-01-08 00:52:11","2026-01-08 00:52:11","","","","","","","","","","","","","","","Italian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9C3PYBVF","webpage","2003","""The ABC of diabetes"" - Recommendations for diabetes mellitus; 2020; RER Assr (IT)","'L´ABC del diabete' - Raccomandazioni sul diabete mellito","","","","","Italy","","2003","2026-01-08 00:52:11","2026-01-08 00:52:11","","","","","","","","","","","","","","","Italian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DV4RN5VJ","webpage","2019","Veronica Dean (vdean@escardio.org); 2020; ESC (FR)","2019 ESC Guidelines for the diagnosis and management of acute pulmonary embolism developed in collaboration with the Respiratory Society (ERS)","","","","","","","2019","2026-01-08 00:52:12","2026-01-08 00:52:12","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2TVW6MTD","webpage","2019","Veronica Dean (vdean@escardio.org); 2020; ESC (FR)","2019 ESC Guidelines for the diagnosis and management of chronic coronary syndromes","","","","","","","2019","2026-01-08 00:52:12","2026-01-08 00:52:12","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68CUQM3E","webpage","2019","Veronica Dean (vdean@escardio.org); 2020; ESC (FR)","2019 ESC Guidelines for the management of patients with supraventricular tachycardia","","","","","","","2019","2026-01-08 00:52:12","2026-01-08 00:52:12","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCZNA3IK","webpage","2019","Veronica Dean (vdean@escardio.org); 2020; ESC (FR)","2019 ESC/EAS Guidelines for the management of dyslipidaemias: lipid modification to reduce cardiovascular risk","","","","","","","2019","2026-01-08 00:52:12","2026-01-08 00:52:12","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9UTKR3GD","webpage","2019","Veronica Dean (vdean@escardio.org); 2020; ESC (FR)","2019 Guidelines on Diabetes, Pre-Diabetes and Cardiovascular Diseases developed in collaboration with the EASD","","","","","","","2019","2026-01-08 00:52:12","2026-01-08 00:52:12","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"US7SFCV5","webpage","2012","2020; NHFA (AU)","2020 Australian guideline for prevention, diagnosis and management of acute rheumatic fever and rheumatic heart disease (3rd edition)","","","","","Australia","","2012","2026-01-08 00:52:12","2026-01-08 00:52:12","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9TNAMYMK","webpage","","Prof Hanan Alrayes; Dr Ahmed Qurban Alturkustani; Dr Mai Aldera","2022 Saudi Guideline for Low Back Pain","","","","","","","","2026-01-08 00:52:12","2026-01-08 00:52:12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W3T7WMNB","webpage","","Scarlett Puebla, spuebla@ctccomm.com","2023 Canadian Acne Guidelines","","","","","","","","2026-01-08 00:52:12","2026-01-08 00:52:12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M6LA5ZDA","webpage","","1. chenminhu@vip.163.com; 2. qianjiaming1957@126.com; 3. kaicwu@fmmu.edu.cn; 2023 Chinese Guidelines for Diagnosis and Treatment of Crohn's disease","2023中国克罗恩病诊治指南","","","","","","","","2026-01-08 00:52:13","2026-01-08 00:52:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXW257N7","webpage","","1. kaicwu@fmmu.edu.cn;  2. qianjiaming1957@126.com; 3. chenminhu@vip.163.com; 2023 Chinese Guidelines for Diagnosis and Treatment of ulcerative colitis","2023中国溃疡性结肠炎诊治指南","","","","","","","","2026-01-08 00:52:13","2026-01-08 00:52:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SNLA7F87","webpage","","Dr Sami Alyami","2024 Saudi Guideline for Community acquired pneumonia","","","","","","","","2026-01-08 00:52:13","2026-01-08 00:52:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z3AHPIZI","webpage","","Dr. Roser Pueyo (rpueyo@ub.edu)","2025 international consensus guidelines for cognitive assessment of people with cerebral palsy","","","","","","","","2026-01-08 00:52:14","2026-01-08 00:52:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N9HJ3WB5","webpage","","APTA","A Clinical Practice Guideline for the Use of Ankle-Foot Orthoses and Functional Electrical Stimulation Post-Stroke","","","","","","","","2026-01-08 00:52:14","2026-01-08 00:52:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G8QKUY43","webpage","2010","2020; JBI (AU)","A comparison of palliative care outcome measures used in Residential Aged Care Facilities (Best Practice 14(5))","","","","","Australia","","2010","2026-01-08 00:52:14","2026-01-08 00:52:14","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6IY3BHYE","webpage","2025","Roberta James (roberta.james@nhs.scot); 2025; SIGN (GB)","A guideline developers' handbook (SIGN CPG 50)","","","","","United Kingdom","","2025","2026-01-08 00:52:14","2026-01-08 00:52:14","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RMFYGCUN","webpage","2019","Roberta James (roberta.james@nhs.scot); 2001-03-22; 2020; SIGN (GB)","A handbook for patients and carer representatives (SIGN CPG 100)","","","","","United Kingdom","","2019","2026-01-08 00:52:14","2026-01-08 00:52:14","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38ANQAJ9","webpage","2013","2020; KCE (BE)","A national clinical practice guideline on the management of localised prostate cancer","","","","","Belgium","","2013","2026-01-08 00:52:14","2026-01-08 00:52:14","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6V5DNCQT","webpage","2018","Kiah Evans (kiah.evans@telethonkids.org.au); 2009-07-23; Cooperative Research Centre for Living with Autism (AU)","A National Guideline for the Assessment and Diagnosis of Autism Spectrum Disorders in Australia","","","","","Australia","","2018","2026-01-08 00:52:14","2026-01-08 00:52:14","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5JPWHCQB","webpage","2013","Koen Van den heede (koen.vandenheede@kce.fgov.be); 2020; KCE (BE)","A National Guideline for the prevention of pressure ulcers","","","","","Belgium","","2013","2026-01-08 00:52:14","2026-01-08 00:52:14","","","","","","","","","","","","","","","English,French","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JS6F73XS","webpage","2013","Koen Van den heede (koen.vandenheede@kce.fgov.be); 2020; KCE (BE)","A national guideline for the treatment of pressure ulcers","","","","","Belgium","","2013","2026-01-08 00:52:14","2026-01-08 00:52:14","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NQ8ABZVE","webpage","2020","Susan McNeill (smcneill@rnao.ca); 2020; RNAO (CA)","A Proactive Approach to Bladder and Bowel Management in Adults","","","","","","","2020","2026-01-08 00:52:15","2026-01-08 00:52:15","","","","","","","","","","","","","","","English,French,Spanish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IP7YUES5","webpage","","Alberto Albanese, Istituto Neurologica Besta, Milano, Italy (tel.: +39 02 2394 2552; fax: +39 02 2394 2539; e-mail: alberto.albanese@unicatt.it); 11","A systematic review on the diagnosis and treatment of primary (idiopathic) dystonia and dystonia plus syndromes: report of an EFNS/MDS-ES Task Force","","","","","Europe","","","2026-01-08 00:52:15","2026-01-08 00:52:15","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GR9Y3P3H","webpage","","Prof. Giorgio Cruccu, Dip. Scienze Neurologiche, Viale Università 30, 00185 Roma, Italy (tel.: +39 06 49694209; fax: +39 06 49914758; e-mail: cruccu@uniroma1.it); 8","AAN-EFNS guidelines on trigeminal neuralgia management","","","","","Europe","","","2026-01-08 00:52:15","2026-01-08 00:52:15","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQLPR5UG","webpage","2018","Hanne Cloetens (hanne.cloetens@gmail.com) and Martine Goossens (martine.goossens@worel.be); First-line treatment of sleep disorders and insomnia in adults (Guideline); 2001-11-23; 2020; Working Group Development of Primary Care Guidelines (WOREL)","Aanpak van slaapklachten en insomnie bij volwassenen in de eerste lijn (Richtlijn)","","","","","Belgium","","2018","2026-01-08 00:52:15","2026-01-08 00:52:15","","","","","","","","","","","","","","","Dutch,English,French","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTKSX9KI","webpage","2023","Barbara Krause (krause@aaos.org); 2023; AAOS (USA)","AAOS Appropriate Use Criteria Anterior Cruciate Ligament Injuries: Prevention Programs","","","","","United States","","2023","2026-01-08 00:52:15","2026-01-08 00:52:15","","","","","","","","","","","","","","","English","","","","","","","","","","https://www.aaos.org/globalassets/quality-and-practice-resources/anterior-cruciate-ligament-injuries/auc-acl-injury-prevention-programs.pdf;https://www.orthoguidelines.org/go/auc/default.cfm?auc_id=224948&actionxm=Terms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4RBLCAWW","webpage","2018","Barbara Krause (krause@aaos.org); 2020; AAOS (USA)","AAOS Appropriate Use Criteria for Limb Salvage or Early Amputation","","","","","United States","","2018","2026-01-08 00:54:07","2026-01-08 00:54:07","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XMXFNIKA","webpage","2022","Barbara Krause (krause@aaos.org); 2022; AAOS (USA)","AAOS Appropriate Use Criteria for Management of Developmental Dysplasia of the Hip in Infants up to Six Months of Age: Intended for Use by Orthopaedic Specialists","","","","","United States","","2022","2026-01-08 00:54:08","2026-01-08 00:54:08","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZPTU47T","webpage","2015","Barbara Krause (krause@aaos.org); 2020; AAOS (USA)","AAOS Appropriate Use Criteria for Management of Osteochondritis Dissecans of the Femoral Condyle","","","","","United States","","2015","2026-01-08 00:54:08","2026-01-08 00:54:08","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RKMXD3D2","webpage","","Barbara Krause","AAOS Appropriate Use Criteria for Pharmacologic, Physical, and Cognitive Pain Alleviation for Musculoskeletal Extremity/Pelvis Surgery","","","","","","","","2026-01-08 00:54:08","2026-01-08 00:54:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G6YFJCUG","webpage","2023","Barbara Krause; 06-Mar-28; 2023; AAOS (USA)","AAOS Appropriate Use Criteria for Shoulder OA with Intact Rotator Cuff and Severe Glenoid Retroversion","","","","","United States","","2023","2026-01-08 00:54:08","2026-01-08 00:54:08","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C6R7CUK2","webpage","2020","Barbara Krause (krause@aaos.org); 2020; AAOS (USA)","AAOS Appropriate Use Criteria for the Early Screening for Psychosocial Risk and Protective Factors","","","","","United States","","2020","2026-01-08 00:54:08","2026-01-08 00:54:08","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KELSQZYN","webpage","2016","Barbara Krause (krause@aaos.org); 2016; AAOS (USA)","AAOS Appropriate Use Criteria for the Management of Carpal Tunnel Syndrome","","","","","United States","","2016","2026-01-08 00:54:08","2026-01-08 00:54:08","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F2EB5QFG","webpage","2018","Barbara Krause (krause@aaos.org); 2020; AAOS (USA)","AAOS Appropriate Use Criteria for the Management of Developmental Dysplasia of the Hip in Infants up to Six Months of Age: Intended for Use by General Pediatricians and Referring Physicians","","","","","United States","","2018","2026-01-08 00:54:08","2026-01-08 00:54:08","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BYEXIAWT","webpage","2017","Barbara Krause (krause@aaos.org); 2020; AAOS (USA)","AAOS Appropriate Use Criteria for the Management of Osteoarthritis of the Hip","","","","","United States","","2017","2026-01-08 00:54:08","2026-01-08 00:54:08","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53UE86FM","webpage","2022","Barbara Krause (krause@aaos.org); 09/11/2027; 2022; AAOS (USA)","AAOS Appropriate Use Criteria for the Management of Osteoarthritis of the Knee (Non-Arthroplasty)","","","","","United States","","2022","2026-01-08 00:54:08","2026-01-08 00:54:08","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55IDHCCQ","webpage","2015","Barbara Krause (krause@aaos.org); 2020; AAOS (USA)","AAOS Appropriate Use Criteria for the Management of Pediatric Supracondylar Humerus Fractures","","","","","United States","","2015","2026-01-08 00:54:08","2026-01-08 00:54:08","","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
